flattened_destination,inbound_rules,example_sources,target
/developer-hub/reference/query-api,1,/developers-hub/docs/query-api-1,
/developer-hub/reference/qr-code-api,1,/developers-hub/reference/qr-code-branch-api,
/developer-hub/reference/events-api,1,/developers-hub/docs/events-api-1,
/developer-hub/reference/desktop-over-the-top-ott-attribution,1,/developers-hub/docs/desktop-and-over-the-top-ott-attribution,
/developer-hub/reference/daily-exports-api,1,/developers-hub/docs/daily-exports,
/developer-hub/reference/custom-exports-api,1,/developers-hub/docs/custom-exports,
/developer-hub/reference/cohort-api,1,/developers-hub/docs/cohort-exports,
/developer-hub/reference/attribution-api,1,/developers-hub/docs/attribution-api-1,
/developer-hub/reference/app-api,1,/developers-hub/docs/app-api-1,
/developer-hub/reference/aggregate-api,1,/developers-hub/docs/branch-aggregate-api,
/developer-hub/page/xiaomi,1,/developers-hub/docs/xiaomi,
/developer-hub/page/oppo,1,/developers-hub/docs/oppo,
/developer-hub/page/9apps,1,/developers-hub/docs/9apps,
/developer-hub/docs/query-api,1,/exports/query-api,
/developer-hub/docs/universal-ads-partner-integration-qa-process,1,/partners-portal/docs/adcolonyuniversal-ads-partner-integration-qa-process,
/developer-hub/docs/criteo-configuration,1,/partners-portal/docs/criteocriteo,
/apidocs/apis-overview,1,/pages/exports/api-v3,
/improved-unified-analytics-exports,1,/unified-analytics-exports-dashboard-improvements,
/support-for-google-ads-skadnetwork-4,1,/google-ads-skadnetwork-4-support,
/log-level-reporting-snap,1,/snap-log-level-reporting,
/docs/enhanced-ad-engagement-type-metrics,1,/docs/enhanced-ad-engagement-type-metrics  [LIVE: in sitemap],
/marketer-hub/docs/engagement-attribution-for-sans,1,/marketer-hub/docs/engagement-attribution-for-sans  [LIVE: in sitemap],
/marketer-hub/docs/enable-adaction-new,1,/marketer-hub/docs/enable-adaction-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-adcolony-performance-media-new,1,/marketer-hub/docs/enable-adcolony-performance-media-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-adikteev-new,1,/marketer-hub/docs/enable-adikteev-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-adtiming-new,1,/marketer-hub/docs/enable-adtiming-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-appier-new,1,/marketer-hub/docs/enable-appier-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-applabs-media-new,1,/marketer-hub/docs/enable-applabs-media-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-bold-screen-media-new,1,/marketer-hub/docs/enable-bold-screen-media-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-buzzscreen-new,1,/marketer-hub/docs/enable-buzzscreen-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-admobs-new,1,/marketer-hub/docs/enable-admobs-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-appmontize-media-new,1,/marketer-hub/docs/enable-appmontize-media-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-awin-new,1,/marketer-hub/docs/enable-awin-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-aragon-premium-new,1,/marketer-hub/docs/enable-aragon-premium-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-hopbug-new,1,/marketer-hub/docs/enable-hopbug-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-iconpeak-new,1,/marketer-hub/docs/enable-iconpeak-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-impact-new,1,/marketer-hub/docs/enable-impact-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-inmobi-dsp-new,1,/marketer-hub/docs/enable-inmobi-dsp-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-kakao-new,1,/marketer-hub/docs/enable-kakao-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-mintegral-new,1,/marketer-hub/docs/enable-mintegral-new  [LIVE: in sitemap],
/marketer-hub/docs/enable-mobupps-new,1,/marketer-hub/docs/enable-mobupps-new  [LIVE: in sitemap],
